original_job,job_category,average_wage,salary_multiplier,reasoning
무직,해당없음,0,0.0,"현재 상용 경제활동에 직접 참여하지 않아 실효적 근로 소득 흐름이 결여된 상태임"
가스 점검원,단순노무 종사자(9),2631000,0.9,"현장 가스 검침 및 기록 관리는 단순노무 수준의 기술 난이도로 평균 대비 소폭 하향"
통계 사무원,사무 종사자(3),4942000,0.8,"통계 원표 작성 및 기본 정보 입력 등은 비핵심 일반 사무로 분류되어 평균 소득을 하회"
음식료품 판매원,판매 종사자(5),4104000,0.7,"식품 유통 매장의 일반 판매직으로 숙련 수당과 실적 성과 수당이 극히 배제됨"
용접기 조작원,장치·기계 조작 및 조립 종사자(8),4215000,1.0,"제조업 공정 내 일반적 용접기 작동 및 관리는 대분류 평균 수준의 표준 노동 가치 적용"
그 외 상점 판매원,판매 종사자(5),4104000,0.7,"소상공 매장 일선 판매직으로 단순 응대 중심이며 인적자본 장벽이 낮아 최저 지표 반영"
총무 사무원,사무 종사자(3),4942000,0.9,"기본적인 사내 총무 행정 및 서무 업무를 보조하며 대분류 중간선에 유사하게 수렴함"
판매 관련 관리자,관리자(1),12563000,0.7,"형식상 매장 내 중간 관리자이나 대기업 임원 소득이 왜곡 반영된 대분류 평균 대비 하향"
주방 보조원,단순노무 종사자(9),2631000,0.8,"요식업 조리 파트 단순 세척 및 재료 준비는 최저 시급을 준용하는 하방 구간 형성"
금형원,기능원 및 관련 기능 종사자(7),4147000,1.1,"제조 강국의 근간인 정밀 부품 금형 기술은 기능원 평균 이상의 기술적 자부심 및 수당 보전"
매장 계산원,판매 종사자(5),4104000,0.6,"정형화된 포스기 결제 및 정산 중심 업무로 인적 장벽이 낮아 판매직 중 최하위 가중치"
광고 전문가,전문가 및 관련종사자(2),5149000,1.0,"광고 캠페인 전략 수립 및 매체 대행은 전문가 대분류 평균적인 실질 보상과 정확히 정합"
소규모 상점 경영자,관리자(1),12563000,0.35,"형식적 관리 범주이나 영세 자영업의 가혹한 시장 경쟁으로 평균보다 극도로 낮은 보상 보정"
그 외 기능 관련 종사원,기능원 및 관련 기능 종사자(7),4147000,0.9,"일반 제조업 및 조립 라인의 단순 가공 기능 직급으로 기능 평균선에 가깝게 유지됨"
"전직 경리 사무원, 현재 구직중",사무 종사자(3),4942000,0.0,"사무직 경력 자산은 있으나 마찰적 실업에 따른 소득 단절 상황으로 실질 수입 제로화"
일반 비서,사무 종사자(3),4942000,0.8,"일정 관리 및 일상 수발 등 자율성이 제약된 보조 직무 성격을 반영하여 대분류 대비 감액"
보육교사,전문가 및 관련종사자(2),5149000,0.6,"전문가 집단 분류이나 위탁 보육 구조와 정부 지원 한계에 따른 하방 지체 고정"
전기 안전 기술자 및 연구원,전문가 및 관련종사자(2),5149000,1.2,"전기 시설 안전 책임자 및 기술 개발 전문가로 자격 라이선스 지대 반영"
영업 관리 사무원,사무 종사자(3),4942000,1.0,"사내 영업 분석 및 실적 파이프라인 관리 사무는 전형적인 대분류 평균 가치로 수렴"
관광버스 운전원,장치·기계 조작 및 조립 종사자(8),4215000,0.9,"대형 운전 면허가 필요하나 관광 시장 경기 유동성과 비정규직 비율이 높은 편임"
노인 및 장애인 돌봄 서비스 종사원,서비스 종사자(4),2285000,1.1,"낮은 처우 대비 격일제·야간 감시성 노동 시간에 따른 법정 연장 근로 수당 가산 보전"
한식 조리사,서비스 종사자(4),2285000,1.2,"조리 기능 자격 장벽이 존재하여 단순 서비스직 대비 기술 프리미엄에 의한 상방 보정"
전동차 정비원,기능원 및 관련 기능 종사자(7),4147000,1.2,"대중교통 철도 자산 안전 정비 숙련공으로 고도의 공공 계약 수당 및 기술 가치 적용"
미디어 콘텐츠 창작자,전문가 및 관련종사자(2),5149000,0.8,"창작 생태계 내 소득 불균형을 고려하여 중위 소득 확보 분량을 안전하게 대입"
바텐더,서비스 종사자(4),2285000,1.0,"주류 조제 기술 및 매장 카운터 소통 서비스로 대분류 평균 노동과 동일 수준 평가"
안과 및 이비인후과 전문 의사,전문가 및 관련종사자(2),5149000,3.5,"진입 제한이 극도로 강한 라이선스 초고소득 군으로 전문가 대분류 평균 대비 예외적 수치 부여"
철도운송 사무원,사무 종사자(3),4942000,1.1,"철도 공공 기관 사무의 강한 고용 안정성과 호봉제 기반 호봉 축적 수당 반영"
"전직 계기 검침원, 현재 구직중",단순노무 종사자(9),2631000,0.0,"단순 노무 분류이나 현재 구직중인 비근로 상태로 실질 가처분 현금 흐름 부재"
화장품 판매원,판매 종사자(5),4104000,0.8,"고객 카운셀링 및 브랜드 카운터 영업직으로 인센티브 기회를 고려해 소폭 보정"
시멘트공학 기술자 및 연구원,전문가 및 관련종사자(2),5149000,1.2,"기초 산업소재 국산화 기술 전문가로 자격 숙련도 및 산업 수당 반영"
토목 관련 관리자,관리자(1),12563000,0.8,"현장 총괄 소장급으로 지배력이 높으나 고임금 최고경영자가 섞인 평균 대비 소폭 하향"
건물 경비원,서비스 종사자(4),2285000,1.0,"시급은 최저수준이나 야간 교대근무 기반 총근로시간 확보로 대분류 평균 가치 도달"
시설 경비원,서비스 종사자(4),2285000,1.0,"오피스 빌딩 보안 및 출입문 제어로 건물 경비원과 유사한 보상 평균 준수"
중식 조리사,서비스 종사자(4),2285000,1.2,"높은 온도와 고강도 수동 작업이 요구되는 전문 기술 조리직으로 우수 보상률 획득"
보석 세공원,기능원 및 관련 기능 종사자(7),4147000,1.0,"정밀 디자인 및 금속 가공 기술이 적용되며 기능 평균 소득 단가에 정비례"
"전직 법무사, 현재 구직중",사무 종사자(3),4942000,0.0,"법률 대리 전문성이 높으나 구직 중인 미활동인구로 수입 흐름을 0원으로 제어"
법무사,사무 종사자(3),4942000,1.8,"부동산 등기 및 민사 법률 대리 자격을 통해 고소득 창출이 가능한 예외 사무직군"
마케팅 관리자,관리자(1),12563000,0.9,"기업 마케팅실 총괄 책임자로 조직 관리 책임과 의사결정 권한 대비 적정치 대입"
신차 영업원,판매 종사자(5),4104000,1.2,"완성차 딜러로서 상업적 수당 계약 기회가 풍부하여 판매 대분류 평균 상회 유도"
그 외 화학제품 생산기 조작원,장치·기계 조작 및 조립 종사자(8),4215000,1.0,"화학 배합 공정 조작원으로 유독 환경 노출 수당과 조작 평균 임금 간 매칭"
화학 연구원,전문가 및 관련종사자(2),5149000,1.3,"R&D 센터 석·박사급 기술 연구원으로 지적 자산 가치 및 수당 우대 반영"
전화 상담원,사무 종사자(3),4942000,0.7,"대고객 단순 전화 응대 및 콜센터 업무로 경질 사무직 중 최하위 구간에 배정"
데이터 분석가,전문가 및 관련종사자(2),5149000,1.2,"인공지능 및 빅데이터 마이닝 기술 인력으로 시장의 높은 인적 자원 수요 프리미엄 적용"
전자제품 개발 기술자 및 연구원,전문가 및 관련종사자(2),5149000,1.4,"글로벌 수출 전자 기업의 고설계 엔지니어로 연차 축적 및 특허 인센티브 대폭 반영"
대형 화물차 운전원,장치·기계 조작 및 조립 종사자(8),4215000,1.1,"장거리 운행 위험 수당과 대형 차량 관리 숙련도로 조립원 평균 대비 우대"
리프트 조작원,장치·기계 조작 및 조립 종사자(8),4215000,0.8,"단순 고정형 리프트 기기 기계적 승하강 작동으로 숙련 가치가 낮아 소폭 하향"
건물 청소원,단순노무 종사자(9),2631000,0.8,"고연령 진입이 쉬운 건물 내부 미화원으로 시간제 비율이 높아 평균선 대비 하방"
수산학 연구원,전문가 및 관련종사자(2),5149000,1.1,"해양 자원 및 수산 보존 국책·민간 기업 연구원으로 대분류 평균보다 약간 상위"
요양 보호사,서비스 종사자(4),2285000,1.0,"고령화 수요가 매우 크나 기본 수가 책정 한계로 대분류 서비스직 평균 가치 수렴"
사회복지사,전문가 및 관련종사자(2),5149000,0.7,"법적 사회복지 자격을 소지하나 공공 예산 구조 하의 전형적인 저임금 한계 적용"
유치원 교사,전문가 및 관련종사자(2),5149000,0.8,"정교사 라이선스가 필수적이지만 국공립·사립 등 전반적인 공공 보육 급여체계 준수"
일반 간호사,전문가 및 관련종사자(2),5149000,1.1,"의료 면허와 더불어 높은 교대 근무 피로도가 동반되므로 소폭의 상방 유도"
상담 전문가,전문가 및 관련종사자(2),5149000,0.9,"심리·청소년 상담 직무로 전문 학위 장벽 대비 소득 창출 기회는 평균 이하 수준"
지게차 운전원,장치·기계 조작 및 조립 종사자(8),4215000,1.0,"물류 중심지 내 지게차 장비 면허 보유 및 정밀 작동으로 조작원 평균 수준 합의"
품질 관리 사무원,사무 종사자(3),4942000,1.0,"제품 출하 공정 사양 검사 및 벤치마킹 사무로 정규 사무직 평균선 일치"
웹 프로그래머,전문가 및 관련종사자(2),5149000,1.1,"일반 소프트웨어 코딩 및 웹 애플리케이션 구현 기술로 전문가 평균 소폭 상회"
기업 고위 임원,관리자(1),12563000,1.1,"사내 최고 지배 주주 및 총괄 관리자로 고도의 직무 대가 및 성과 인센티브 수취"
육군 부사관,서비스 종사자(4),2285000,1.1,"직업 군인으로서 위수지역 거주 및 위험 수당, 군 주거 보전 기여분으로 상방 보정"